Problem,Observations,Goals,Real Goal
blocks-world/10/block-words_p02_hyp-2_10_0,1,20,2
blocks-world/10/block-words_p02_hyp-2_10_1,1,20,2
blocks-world/10/block-words_p02_hyp-2_10_2,1,20,2
blocks-world/10/block-words_p02_hyp-3_10_0,1,20,3
blocks-world/10/block-words_p02_hyp-3_10_1,1,20,3
blocks-world/10/block-words_p02_hyp-3_10_2,1,20,3
blocks-world/10/block-words_p02_hyp-4_10_0,2,20,4
blocks-world/10/block-words_p02_hyp-4_10_1,2,20,4
blocks-world/10/block-words_p02_hyp-4_10_2,1,20,7
blocks-world/10/block-words_p02_hyp-5_10_0,1,20,5
blocks-world/10/block-words_p02_hyp-5_10_1,1,20,6
blocks-world/10/block-words_p02_hyp-5_10_2,1,20,5
blocks-world/10/block-words_p02_hyp-6_10_0,1,20,6
blocks-world/10/block-words_p02_hyp-6_10_1,1,20,6
blocks-world/10/block-words_p02_hyp-6_10_2,1,20,6
blocks-world/10/block-words_p02_hyp-7_10_0,1,20,7
blocks-world/10/block-words_p02_hyp-7_10_1,1,20,7
blocks-world/10/block-words_p02_hyp-7_10_2,1,20,7
blocks-world/10/block-words_p02_hyp-8_10_0,1,20,8
blocks-world/10/block-words_p02_hyp-8_10_1,1,20,8
blocks-world/10/block-words_p02_hyp-8_10_2,1,20,8
blocks-world/10/block-words_p02_hyp-9_10_0,1,20,9
blocks-world/10/block-words_p02_hyp-9_10_1,1,20,9
blocks-world/10/block-words_p02_hyp-9_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-0_10_0,2,20,0
blocks-world/10/block-words_p03_hyp-0_10_1,2,20,0
blocks-world/10/block-words_p03_hyp-0_10_2,2,20,0
blocks-world/10/block-words_p03_hyp-10_10_0,1,20,10
blocks-world/10/block-words_p03_hyp-10_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-10_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-11_10_0,1,20,11
blocks-world/10/block-words_p03_hyp-11_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-11_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-12_10_0,1,20,12
blocks-world/10/block-words_p03_hyp-12_10_1,1,20,12
blocks-world/10/block-words_p03_hyp-12_10_2,1,20,18
blocks-world/10/block-words_p03_hyp-13_10_0,2,20,13
blocks-world/10/block-words_p03_hyp-13_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-13_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-14_10_0,1,20,14
blocks-world/10/block-words_p03_hyp-14_10_1,1,20,18
blocks-world/10/block-words_p03_hyp-14_10_2,1,20,14
blocks-world/10/block-words_p03_hyp-15_10_0,1,20,15
blocks-world/10/block-words_p03_hyp-15_10_1,1,20,18
blocks-world/10/block-words_p03_hyp-15_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-16_10_0,1,20,16
blocks-world/10/block-words_p03_hyp-16_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-16_10_2,1,20,18
blocks-world/10/block-words_p03_hyp-17_10_0,1,20,17
blocks-world/10/block-words_p03_hyp-17_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-17_10_2,1,20,18
blocks-world/10/block-words_p03_hyp-18_10_0,1,20,18
blocks-world/10/block-words_p03_hyp-18_10_1,1,20,18
blocks-world/10/block-words_p03_hyp-18_10_2,1,20,18
blocks-world/10/block-words_p03_hyp-19_10_0,2,20,7
blocks-world/10/block-words_p03_hyp-19_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-19_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-1_10_0,2,20,1
blocks-world/10/block-words_p03_hyp-1_10_1,1,20,8
blocks-world/10/block-words_p03_hyp-1_10_2,2,20,1
blocks-world/10/block-words_p03_hyp-2_10_0,1,20,2
blocks-world/10/block-words_p03_hyp-2_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-2_10_2,1,20,2
blocks-world/10/block-words_p03_hyp-3_10_0,2,20,7
blocks-world/10/block-words_p03_hyp-3_10_1,1,20,8
blocks-world/10/block-words_p03_hyp-3_10_2,1,20,8
blocks-world/10/block-words_p03_hyp-4_10_0,1,20,4
blocks-world/10/block-words_p03_hyp-4_10_1,1,20,4
blocks-world/10/block-words_p03_hyp-4_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-5_10_0,1,20,8
blocks-world/10/block-words_p03_hyp-5_10_1,2,20,7
blocks-world/10/block-words_p03_hyp-5_10_2,1,20,5
blocks-world/10/block-words_p03_hyp-6_10_0,1,20,9
blocks-world/10/block-words_p03_hyp-6_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-6_10_2,1,20,9
blocks-world/10/block-words_p03_hyp-7_10_0,1,20,8
blocks-world/10/block-words_p03_hyp-7_10_1,2,20,7
blocks-world/10/block-words_p03_hyp-7_10_2,1,20,8
blocks-world/10/block-words_p03_hyp-8_10_0,1,20,8
blocks-world/10/block-words_p03_hyp-8_10_1,1,20,8
blocks-world/10/block-words_p03_hyp-8_10_2,1,20,8
blocks-world/10/block-words_p03_hyp-9_10_0,1,20,9
blocks-world/10/block-words_p03_hyp-9_10_1,1,20,9
blocks-world/10/block-words_p03_hyp-9_10_2,1,20,9
blocks-world/10/block-words_p04_hyp-1_10_1,4,20,0
blocks-world/10/block-words_p04_hyp-1_10_2,4,20,0
blocks-world/10/block-words_p04_hyp-1_10_3,4,20,0
blocks-world/10/block-words_p04_hyp-2_10_1,3,20,1
blocks-world/10/block-words_p04_hyp-2_10_2,3,20,1
blocks-world/10/block-words_p04_hyp-2_10_3,3,20,1
blocks-world/10/block-words_p04_hyp-3_10_1,4,20,2
blocks-world/10/block-words_p04_hyp-3_10_2,4,20,2
blocks-world/10/block-words_p04_hyp-3_10_3,4,20,2
blocks-world/10/block-words_p04_hyp-4_10_1,4,20,3
blocks-world/10/block-words_p04_hyp-4_10_2,4,20,3
blocks-world/10/block-words_p04_hyp-4_10_3,4,20,3
blocks-world/10/block-words_p05_hyp-1_10_1,4,20,0
blocks-world/10/block-words_p05_hyp-1_10_2,4,20,0
blocks-world/10/block-words_p05_hyp-1_10_3,4,20,0
blocks-world/10/block-words_p05_hyp-2_10_1,4,20,1
blocks-world/10/block-words_p05_hyp-2_10_2,4,20,1
blocks-world/10/block-words_p05_hyp-2_10_3,4,20,1
blocks-world/10/block-words_p05_hyp-3_10_1,5,20,2
blocks-world/10/block-words_p05_hyp-3_10_2,5,20,2
blocks-world/10/block-words_p05_hyp-3_10_3,5,20,2
blocks-world/10/block-words_p05_hyp-4_10_1,4,20,3
blocks-world/10/block-words_p05_hyp-4_10_2,4,20,3
blocks-world/10/block-words_p05_hyp-4_10_3,4,20,3
blocks-world/10/block-words_p06_hyp-1_10_1,4,20,0
blocks-world/10/block-words_p06_hyp-1_10_2,4,20,0
blocks-world/10/block-words_p06_hyp-1_10_3,4,20,0
blocks-world/10/block-words_p06_hyp-2_10_1,4,20,5
blocks-world/10/block-words_p06_hyp-2_10_2,4,20,5
blocks-world/10/block-words_p06_hyp-2_10_3,4,20,5
blocks-world/10/block-words_p06_hyp-3_10_1,5,20,10
blocks-world/10/block-words_p06_hyp-3_10_2,5,20,10
blocks-world/10/block-words_p06_hyp-3_10_3,5,20,10
blocks-world/10/block-words_p06_hyp-4_10_1,5,20,14
blocks-world/10/block-words_p06_hyp-4_10_2,5,20,14
blocks-world/10/block-words_p06_hyp-4_10_3,5,20,14
blocks-world/10/block-words_p07_hyp-1_10_1,7,20,0
blocks-world/10/block-words_p07_hyp-1_10_2,7,20,0
blocks-world/10/block-words_p07_hyp-1_10_3,7,20,0
blocks-world/10/block-words_p07_hyp-2_10_1,7,20,2
blocks-world/10/block-words_p07_hyp-2_10_2,7,20,2
blocks-world/10/block-words_p07_hyp-2_10_3,7,20,2
blocks-world/10/block-words_p07_hyp-3_10_1,6,20,10
blocks-world/10/block-words_p07_hyp-3_10_2,6,20,10
blocks-world/10/block-words_p07_hyp-3_10_3,6,20,10
blocks-world/10/block-words_p07_hyp-4_10_1,6,20,8
blocks-world/10/block-words_p07_hyp-4_10_2,6,20,8
blocks-world/10/block-words_p07_hyp-4_10_3,6,20,8
blocks-world/100/block-words-aaai_p01_hyp-0_full,10,21,16
blocks-world/100/block-words-aaai_p01_hyp-1_full,6,21,17
blocks-world/100/block-words-aaai_p01_hyp-2_full,6,21,18
blocks-world/100/block-words-aaai_p01_hyp-3_full,8,21,19
blocks-world/100/block-words-aaai_p01_hyp-4_full,10,21,20
blocks-world/100/block-words-aaai_p02_hyp-0_full,6,20,15
blocks-world/100/block-words-aaai_p02_hyp-1_full,6,20,16
blocks-world/100/block-words-aaai_p02_hyp-2_full,8,20,17
blocks-world/100/block-words-aaai_p02_hyp-3_full,8,20,18
blocks-world/100/block-words-aaai_p02_hyp-4_full,6,20,19
blocks-world/100/block-words-aaai_p03_hyp-0_full,6,20,15
blocks-world/100/block-words-aaai_p03_hyp-1_full,6,20,16
blocks-world/100/block-words-aaai_p03_hyp-2_full,8,20,17
blocks-world/100/block-words-aaai_p03_hyp-3_full,10,20,18
blocks-world/100/block-words-aaai_p03_hyp-4_full,14,20,7
blocks-world/100/block-words_p01_hyp-0_full,8,21,0
blocks-world/100/block-words_p01_hyp-10_full,8,21,10
blocks-world/100/block-words_p01_hyp-11_full,10,21,11
blocks-world/100/block-words_p01_hyp-12_full,6,21,12
blocks-world/100/block-words_p01_hyp-13_full,10,21,13
blocks-world/100/block-words_p01_hyp-14_full,10,21,14
blocks-world/100/block-words_p01_hyp-15_full,14,21,15
blocks-world/100/block-words_p01_hyp-16_full,10,21,16
blocks-world/100/block-words_p01_hyp-17_full,6,21,17
blocks-world/100/block-words_p01_hyp-18_full,6,21,18
blocks-world/100/block-words_p01_hyp-19_full,8,21,19
blocks-world/100/block-words_p01_hyp-1_full,8,21,1
blocks-world/100/block-words_p01_hyp-20_full,10,21,20
blocks-world/100/block-words_p01_hyp-2_full,6,21,2
blocks-world/100/block-words_p01_hyp-3_full,6,21,3
blocks-world/100/block-words_p01_hyp-4_full,10,21,20
blocks-world/100/block-words_p01_hyp-5_full,4,21,5
blocks-world/100/block-words_p01_hyp-6_full,10,21,6
blocks-world/100/block-words_p01_hyp-7_full,8,21,7
blocks-world/100/block-words_p01_hyp-8_full,10,21,8
blocks-world/100/block-words_p01_hyp-9_full,8,21,9
blocks-world/100/block-words_p02_hyp-0_full,8,20,0
blocks-world/100/block-words_p02_hyp-10_full,10,20,10
blocks-world/100/block-words_p02_hyp-11_full,12,20,11
blocks-world/100/block-words_p02_hyp-12_full,8,20,12
blocks-world/100/block-words_p02_hyp-13_full,6,20,13
blocks-world/100/block-words_p02_hyp-14_full,6,20,14
blocks-world/100/block-words_p02_hyp-15_full,6,20,15
blocks-world/100/block-words_p02_hyp-16_full,6,20,16
blocks-world/100/block-words_p02_hyp-17_full,8,20,17
blocks-world/100/block-words_p02_hyp-18_full,8,20,18
blocks-world/100/block-words_p02_hyp-19_full,6,20,19
blocks-world/100/block-words_p02_hyp-1_full,12,20,1
blocks-world/100/block-words_p02_hyp-2_full,10,20,2
blocks-world/100/block-words_p02_hyp-3_full,8,20,3
blocks-world/100/block-words_p02_hyp-4_full,12,20,4
blocks-world/100/block-words_p02_hyp-5_full,10,20,5
blocks-world/100/block-words_p02_hyp-6_full,10,20,6
blocks-world/100/block-words_p02_hyp-7_full,4,20,7
blocks-world/100/block-words_p02_hyp-8_full,4,20,8
blocks-world/100/block-words_p02_hyp-9_full,10,20,9
blocks-world/100/block-words_p03_hyp-0_full,14,20,0
blocks-world/100/block-words_p03_hyp-10_full,10,20,10
blocks-world/100/block-words_p03_hyp-11_full,8,20,11
blocks-world/100/block-words_p03_hyp-12_full,8,20,12
blocks-world/100/block-words_p03_hyp-13_full,12,20,13
blocks-world/100/block-words_p03_hyp-14_full,8,20,14
blocks-world/100/block-words_p03_hyp-15_full,6,20,15
blocks-world/100/block-words_p03_hyp-16_full,6,20,16
blocks-world/100/block-words_p03_hyp-17_full,8,20,17
blocks-world/100/block-words_p03_hyp-18_full,10,20,18
blocks-world/100/block-words_p03_hyp-19_full,14,20,7
blocks-world/100/block-words_p03_hyp-1_full,12,20,1
blocks-world/100/block-words_p03_hyp-2_full,6,20,2
blocks-world/100/block-words_p03_hyp-3_full,8,20,3
blocks-world/100/block-words_p03_hyp-4_full,6,20,4
blocks-world/100/block-words_p03_hyp-5_full,8,20,5
blocks-world/100/block-words_p03_hyp-6_full,8,20,6
blocks-world/100/block-words_p03_hyp-7_full,14,20,7
blocks-world/100/block-words_p03_hyp-8_full,8,20,8
blocks-world/100/block-words_p03_hyp-9_full,8,20,9
blocks-world/100/block-words_p04_hyp-1_full,32,20,0
blocks-world/100/block-words_p04_hyp-2_full,30,20,1
blocks-world/100/block-words_p04_hyp-3_full,40,20,2
blocks-world/100/block-words_p04_hyp-4_full,36,20,3
blocks-world/100/block-words_p05_hyp-1_full,32,20,0
blocks-world/100/block-words_p05_hyp-2_full,32,20,1
blocks-world/100/block-words_p05_hyp-3_full,46,20,2
blocks-world/100/block-words_p05_hyp-4_full,40,20,3
blocks-world/100/block-words_p06_hyp-1_full,36,20,0
blocks-world/100/block-words_p06_hyp-2_full,36,20,5
blocks-world/100/block-words_p06_hyp-3_full,44,20,10
blocks-world/100/block-words_p06_hyp-4_full,44,20,14
blocks-world/100/block-words_p07_hyp-1_full,64,20,0
blocks-world/100/block-words_p07_hyp-2_full,64,20,2
blocks-world/100/block-words_p07_hyp-3_full,60,20,10
blocks-world/100/block-words_p07_hyp-4_full,58,20,8
blocks-world/30/block-words-aaai_p01_hyp-0_30_0,2,21,5
blocks-world/30/block-words-aaai_p01_hyp-1_30_0,2,21,5
blocks-world/30/block-words-aaai_p01_hyp-2_30_0,3,21,7
blocks-world/30/block-words-aaai_p01_hyp-3_30_0,3,21,8
blocks-world/30/block-words-aaai_p01_hyp-4_30_0,3,21,9
blocks-world/30/block-words-aaai_p02_hyp-0_30_0,4,20,4
blocks-world/30/block-words-aaai_p02_hyp-1_30_0,3,20,5
blocks-world/30/block-words-aaai_p02_hyp-2_30_0,3,20,6
blocks-world/30/block-words-aaai_p02_hyp-3_30_0,2,20,7
blocks-world/30/block-words-aaai_p02_hyp-4_30_0,2,20,8
blocks-world/30/block-words-aaai_p03_hyp-0_30_0,2,20,4
blocks-world/30/block-words-aaai_p03_hyp-1_30_0,3,20,5
blocks-world/30/block-words-aaai_p03_hyp-2_30_0,3,20,6
blocks-world/30/block-words-aaai_p03_hyp-3_30_0,3,20,8
blocks-world/30/block-words-aaai_p03_hyp-4_30_0,3,20,8
blocks-world/30/block-words_p01_hyp-0_30_0,3,21,0
blocks-world/30/block-words_p01_hyp-0_30_1,3,21,0
blocks-world/30/block-words_p01_hyp-0_30_2,3,21,0
blocks-world/30/block-words_p01_hyp-10_30_0,3,21,10
blocks-world/30/block-words_p01_hyp-10_30_1,3,21,10
blocks-world/30/block-words_p01_hyp-10_30_2,3,21,10
blocks-world/30/block-words_p01_hyp-11_30_0,3,21,11
blocks-world/30/block-words_p01_hyp-11_30_1,3,21,11
blocks-world/30/block-words_p01_hyp-11_30_2,3,21,10
blocks-world/30/block-words_p01_hyp-12_30_0,2,21,12
blocks-world/30/block-words_p01_hyp-12_30_1,2,21,12
blocks-world/30/block-words_p01_hyp-12_30_2,3,21,11
blocks-world/30/block-words_p01_hyp-13_30_0,3,21,13
blocks-world/30/block-words_p01_hyp-13_30_1,3,21,13
blocks-world/30/block-words_p01_hyp-13_30_2,3,21,13
blocks-world/30/block-words_p01_hyp-14_30_0,3,21,14
blocks-world/30/block-words_p01_hyp-14_30_1,3,21,14
blocks-world/30/block-words_p01_hyp-14_30_2,3,21,14
blocks-world/30/block-words_p01_hyp-15_30_0,5,21,15
blocks-world/30/block-words_p01_hyp-15_30_1,5,21,15
blocks-world/30/block-words_p01_hyp-15_30_2,3,21,19
blocks-world/30/block-words_p01_hyp-16_30_0,3,21,16
blocks-world/30/block-words_p01_hyp-16_30_1,3,21,16
blocks-world/30/block-words_p01_hyp-16_30_2,3,21,19
blocks-world/30/block-words_p01_hyp-17_30_0,2,21,17
blocks-world/30/block-words_p01_hyp-17_30_1,2,21,17
blocks-world/30/block-words_p01_hyp-17_30_2,2,21,17
blocks-world/30/block-words_p01_hyp-18_30_0,2,21,18
blocks-world/30/block-words_p01_hyp-18_30_1,2,21,18
blocks-world/30/block-words_p01_hyp-18_30_2,3,21,19
blocks-world/30/block-words_p01_hyp-19_30_0,3,21,19
blocks-world/30/block-words_p01_hyp-19_30_1,3,21,19
blocks-world/30/block-words_p01_hyp-19_30_2,3,21,19
blocks-world/30/block-words_p01_hyp-1_30_0,3,21,1
blocks-world/30/block-words_p01_hyp-1_30_1,3,21,1
blocks-world/30/block-words_p01_hyp-1_30_2,3,21,1
blocks-world/30/block-words_p01_hyp-20_30_0,3,21,20
blocks-world/30/block-words_p01_hyp-20_30_1,3,21,19
blocks-world/30/block-words_p01_hyp-20_30_2,3,21,20
blocks-world/30/block-words_p01_hyp-2_30_0,2,21,2
blocks-world/30/block-words_p01_hyp-2_30_1,2,21,2
blocks-world/30/block-words_p01_hyp-2_30_2,2,21,2
blocks-world/30/block-words_p01_hyp-3_30_0,2,21,3
blocks-world/30/block-words_p01_hyp-3_30_1,2,21,3
blocks-world/30/block-words_p01_hyp-3_30_2,2,21,3
blocks-world/30/block-words_p01_hyp-4_30_0,3,21,4
blocks-world/30/block-words_p01_hyp-4_30_1,2,21,5
blocks-world/30/block-words_p01_hyp-4_30_2,2,21,3
blocks-world/30/block-words_p01_hyp-5_30_0,2,21,5
blocks-world/30/block-words_p01_hyp-5_30_1,2,21,5
blocks-world/30/block-words_p01_hyp-5_30_2,2,21,5
blocks-world/30/block-words_p01_hyp-6_30_0,3,21,6
blocks-world/30/block-words_p01_hyp-6_30_1,2,21,5
blocks-world/30/block-words_p01_hyp-6_30_2,3,21,6
blocks-world/30/block-words_p01_hyp-7_30_0,3,21,7
blocks-world/30/block-words_p01_hyp-7_30_1,3,21,7
blocks-world/30/block-words_p01_hyp-7_30_2,3,21,7
blocks-world/30/block-words_p01_hyp-8_30_0,3,21,9
blocks-world/30/block-words_p01_hyp-8_30_1,3,21,7
blocks-world/30/block-words_p01_hyp-8_30_2,3,21,8
blocks-world/30/block-words_p01_hyp-9_30_0,3,21,9
blocks-world/30/block-words_p01_hyp-9_30_1,3,21,9
blocks-world/30/block-words_p01_hyp-9_30_2,3,21,7
blocks-world/30/block-words_p02_hyp-0_30_0,3,20,0
blocks-world/30/block-words_p02_hyp-0_30_1,3,20,0
blocks-world/30/block-words_p02_hyp-0_30_2,3,20,2
blocks-world/30/block-words_p02_hyp-10_30_0,3,20,10
blocks-world/30/block-words_p02_hyp-10_30_1,3,20,10
blocks-world/30/block-words_p02_hyp-10_30_2,3,20,9
blocks-world/30/block-words_p02_hyp-11_30_0,4,20,11
blocks-world/30/block-words_p02_hyp-11_30_1,4,20,11
blocks-world/30/block-words_p02_hyp-11_30_2,3,20,9
blocks-world/30/block-words_p02_hyp-12_30_0,3,20,12
blocks-world/30/block-words_p02_hyp-12_30_1,3,20,12
blocks-world/30/block-words_p02_hyp-12_30_2,3,20,12
blocks-world/30/block-words_p02_hyp-13_30_0,2,20,13
blocks-world/30/block-words_p02_hyp-13_30_1,3,20,12
blocks-world/30/block-words_p02_hyp-13_30_2,2,20,13
blocks-world/30/block-words_p02_hyp-14_30_0,2,20,14
blocks-world/30/block-words_p02_hyp-14_30_1,2,20,14
blocks-world/30/block-words_p02_hyp-14_30_2,2,20,13
blocks-world/30/block-words_p02_hyp-15_30_0,2,20,15
blocks-world/30/block-words_p02_hyp-15_30_1,2,20,15
blocks-world/30/block-words_p02_hyp-15_30_2,2,20,15
blocks-world/30/block-words_p02_hyp-16_30_0,2,20,16
blocks-world/30/block-words_p02_hyp-16_30_1,2,20,16
blocks-world/30/block-words_p02_hyp-16_30_2,2,20,16
blocks-world/30/block-words_p02_hyp-17_30_0,3,20,17
blocks-world/30/block-words_p02_hyp-17_30_1,3,20,17
blocks-world/30/block-words_p02_hyp-17_30_2,3,20,18
blocks-world/30/block-words_p02_hyp-18_30_0,3,20,18
blocks-world/30/block-words_p02_hyp-18_30_1,3,20,18
blocks-world/30/block-words_p02_hyp-18_30_2,3,20,18
blocks-world/30/block-words_p02_hyp-19_30_0,2,20,19
blocks-world/30/block-words_p02_hyp-19_30_1,2,20,19
blocks-world/30/block-words_p02_hyp-19_30_2,2,20,19
blocks-world/30/block-words_p02_hyp-1_30_0,4,20,1
